Bier_ID,Bier_name,Trinktemperatur,Alkohol,Kalorien_je_100ml,Stammwuerze,Beschreibung
B0016,Gösser Falkensteiner Märzen,7,5.2,42,"11,7°","Das untergärige, helle Vollbier aus Falkenstein ist in der Farbe strohgelb und im Duft angenehm hopfig mit feinen Malznoten. Der Antrunk ist von deutlichen Malztönen geprägt. Eine leichte Hopfennote rundet den harmonischen Geschmack des Falkensteiner Märzen ab."
B0017,Gösser Gold,7,5.3,45,"12,2°","Gösser Gold mit seiner leuchtend goldgelben Farbe ist ein edles Premium-Bier. Sorgfältig ausgewählter Aromahopfen verleiht ihm eine frische, pilsartige Struktur. Am Gaumen perfekt ausbalanciert, sorgt es für einen eleganten Abgang."
B0018,Gösser Kracherl,4,0.4,34,"8,4°","Gösser Kracherl - Alkoholfreies Gösser und erfrischend fruchtiger Zitronensaft ergeben harmonisch abgestimmt das Gösser Kracherl: Natürlich trüb in der Farbe, spritzig-zitronig und angenehm bierig im Geschmack. Perfekt für den erwachsenen Gaumen, perfekt gegen den Durst - einfach gesagt: Das alkoholfreie Bierkracherl für Erwachsene."
B0019,Gösser Märzen,7,5.2,43,"11,9°","Der Inbegriff für österreichisches Märzenbier macht etwas 70% des Ausstoßes der Gösser Brauerei aus. Das untergärige, helle Vollbier ist in der Farbe strohgelb und im Duft angenehm hopfig mit feinen Malznoten. Der Antrunk ist von deutlichen Malztönen geprägt. Eine leichte Hopfennote rundet den harmonischen Geschmack von Gösser Märzen ab."
B0020,Gösser NaturGold,3,0.4,27,7°,"Gösser NaturGold alkoholfrei - Österreichs bestes alkoholfreies Bier: sattes Gold, natürlich trüb, dadurch besonders vollmundig im Geschmack, gepaart mit feiner Hopfennote – echter Gösser Biergenuss zu jeder Tageszeit!"
B0021,Gösser NaturRadler Kräuter,4,0.2,37,"9,9°","Gösser NaturRadler Kräuter ist eine einzigartig erfrischende Mischung ausgewählter, heimischer Sommerkräuter und vollmundigem Gösser Bier. Die Verwendung von 100% natürlichen Zutaten sorgt für den besonders harmonischen Geschmack. Der Gösser NaturRadler Kräuter ist der erste naturtrübe Kräuterradler in Österreich und mit seinem geringen Alkoholgehalt der ideale Durstlöscher!"
B0022,Gösser NaturRadler Zitrone,4,0.2,38,"9,8°","Vollmundiges Gösser und 100% natürlicher Zitronensaft fügen sich zu einem erfrischend leichten Biergenuss - dem Gösser NaturRadler! Der echte Zitronensaft verleiht dem Gösser NaturRadler auch seine leichte Trübung. Geringer Alkoholgehalt, ausschließlich natürlicher Fruchtzucker und der Verzicht auf künstliche Zusatzstoffe machen den Gösser NaturRadler zu einem einzigartigen Durstlöscher mit harmonischem Geschmack."
B0023,Gösser Spezial,7,5.7,48,"13,2°","Die intensiv goldgelbe Farbe und der außergewöhnlich stabile Schaum verheißen einen Biergenuss der Extraklasse. Der kräftige Körper und der hopfig, fruchtige Geschmack harmonieren perfekt mit der traditionellen österreichischen Küche. 1955 wurde es beim Bankett zur Unterzeichnung des österreichischen Staatsvertrages gereicht."
B0024,Gösser Stiftsbräu,9,4.5,45,"11,8°","Das dunkle Bier aus Göss strahlt in Kastanienbraun mit leicht rötlichem Schimmer, der Schaum mit seiner einzigartigen Farbe rundet das Erscheinungsbild ab. Das Bier duftet nach Kaffee, Kakaobohnen und dunklem Karamell. Am Gaumen ist es dicht, sahnig und cremig, gestützt von einer zarten Süße. Mit dem Namen verweist es auf das Stift Göss - das älteste Kloster der Steiermark und die historische Geburtsstätte von Österreichs bestem Bier."
B0025,Gösser Zwickl,7,5.2,43,"11,8°","Eine Bierspezialität, die sich in der Farbe durch ein kräftiges Goldgelb mit hellen Kupfertönen auszeichnet und dessen Geschmack durch die natürliche Trübung etwas weicher ist. Die Braufrische ist nicht nur in der Nase sondern auch am Gaumen erlebbar. Der Name Zwickl leitet sich vom Zwicklhahn ab: Eigentlich ein Probehahn für den Braumeister, diente er schon in früherer Zeit den durstigen Brauburschen als scheinbar nie versiegende Quelle für besonders frischen, harmonischen Biergenuss."
B0026,Guinness Stout,13,4.2,44,"9,8°","Guinness ist ein typisch irisches Stout - eine dunkle, ebenholzfarben-opake Erscheinung. Die typische Hopfenbittere kombiniert sich mit der durchgängigen Röstmalzaromatik von der Nase bis zum Gaumen. Die Krönung eines jeden Guinness ist der feinporige, cremigen Schaum."
B0027,Heineken Premium Lager,5,0.5,40,"11,4°","Die charakteristisch klare, helle Farbe verdankt Heineken der Verwendung hochwertigster Gerste. Der weltweit, insbesondere in der jungen Zielgruppe, anerkannte Geschmack von Heineken basiert auf eigenen Hefestämmen und einem speziellen Brauverfahren mit horizontalen Gärtanks. Die revolutionäre A-Hefe verleiht Heineken den milden, frischen Geschmack mit der unverwechselbaren, angenehm fruchtigen Note."
B0028,Kaiser Doppelmalz,9,4.7,55,"12,8°","Das Kaiser Doppelmalz hat eine dunkle rotbraune Farbe. In der Nase entfalten sich ansprechende Röstaromen und Kakaonoten. Am Gaumen ist es ausgewogen, süßlich mit angenehmer Karamelle im Abgang."
B0029,Kaiser Fasstyp,7,0.5,40,"11,6°","Das Kaiser Fasstyp hat eine helle, strohgelbe Farbe mit eleganter Perlage und besticht in der Nase mit feinen Hopfen- und Getreidenoten. Im Geschmack ist dieses traditionelle Märzenbier harmonisch und vollmundig, mit angenehmer Kohlensäure."
B0030,Kaiser Goldquell,7,5.7,46,"12,8°","Das Kaiser Goldquell ist goldfarben mit rötlichen Reflexen. Am Gaumen ist es würzig, kräftig und malzig mit einer zartbitteren Note - ein exzellentes, vollmundiges Spezialbier."
B0031,Kaiser Iso Radler,4,0.4,25,"6,3°",Der Kaiser Iso Radler hat eine naturtrübe strohgelbe Farbe und ein ausgeprägtes Grapefruitaroma. Dieser Radler ist alkohol- und zuckerfrei und äußerst erfrischend am Gaumen. Als isotonisches Erfrischungsgetränk enthält er Mineralsalze und ist deshalb bei Sportlern sehr beliebt.
B0032,"Kaiser Kaiser 2,9 %",4,2.9,33,"9,2°","Das Kaiser 2,9% besticht durch helles strohgelb. Es entfaltet in der Nase elegante Hopfennoten. Durch den geringeren Alkoholgehalt ist es herrlich erfrischend, am Gaumen fein perlend und vollmundig, mit leicht herbem Nachtrunk."
B0033,Kaiser Premium,7,5.4,44,"12,2°","Das Kaiser Premium ist leuchtend goldgelb in der Farbe. Als eines der beliebtesten Fassbiere Österreichs besitzt es eine blumige, ansprechende Hopfennote. Am Gaumen perfekt ausgewogen und hopfenbetont, mit schlankem Körper und elegantem Abgang."
B0034,Kaiser Sport Radler,4,2.3,28,"7,2°","Der Kaiser Sport Radler ist ein naturtrüber Radler. Die frische, angenehme Zitrusnote in Geruch und Geschmack und die feine Hopfenbittere im Nachtrunk zeichnen diesen spritzigen Durstlöscher aus."
B0035,Kaltenhauser 1475 Pale Ale,9,5.5,45,"12,6°","Das 1475 Pale Ale erweckt die jahrhundertelange Kaltenhauser Tradition des obergärigen Bierbrauens zu neuem Leben. Am Gaumen intensiv hopfen- und fruchtaromatisch, mit harmonischer Bittere, trifft in dieser vollmundigen Bierspezialität das reichhaltige Erbe des Kaltenhauser Brauhandwerks auf den Geschmack typischer Pale Ales."
B0036,Kaltenhauser Kellerbier,7,4.8,42,"11,8°","Das Kaltenhauser Kellerbier ist hellgold und ungefiltert natürtrüb. Gebraut mit frischem Felsenquellwasser schmeckt es besonders süffig und mild. In der Nase malzig und am Gaumen leicht trinkbar, mit Aromen von Getreide und Brot."
B0037,Kaltenhauser Original,7,5.3,42,"12,5°","Das Kaltenhauser Original ist naturtrüb leuchtend bernsteinfarben und besonders charakterstark mit intensiver Malzblume und feiner Karamelnote. Am Gaumen präsentiert sich dieses Bier, gebraut nach überlieferter alter Rezeptur, besonders vollmundig malzig mild und feingehopft."
B0038,Kilkenny Red Ale,11,4.3,43,"9,86°","Kilkenny ist ein traditionell irisches Red Ale und hat eine typische braune Farbe mit markantem Rotstich. Die cremige Schaumkrone erinnert an jene dunkler Stouts, vom Geschmack ist Kilkenny trotz leichter Herbe dennoch milder."
B0039,"Puntigamer Das ""bierige"" Bier",7,5.1,40,"11,5°","Das strahlende Gelb verheißt schon bierigen Genuss. Der angenehm malzige, fruchtige Geschmack und die fein abgestimmte Hopfennote verleihen Österreichs beliebtestem Märzenbier seinen einzigartigen Charakter."
B0040,Puntigamer Panther,7,5.2,43,"12,1°","Das Wappentier der Steiermark gibt diesem goldgelben Bier seinen Namen. Seine Kraft bezieht er aus seinem vollmundig würzigen Geschmack, in dem eine feine Hopfenblume harmonisch eingebunden ist."
B0041,Puntigamer Winterbier,8,0.6,50,"13,8°",Bereits die helle leuchtende Bernsteinfarbe verheißt Wärme und Genuss. Den Gaumen umspielen vielfältige Malzaromen die in ihrer Vollmundigkeit durch die kräftige Hopfennote wunderbar abgerundet werden. Das Puntigamer Winterbier ist verfügbar ab Oktober - nur solange der Vorrat reicht.
B0042,Reininghaus Jahrgangspils 2014,7,4.8,40,"11,3°","Strohgelbe Farbe, blendend weißer feinporiger Schaum. Geprägt von intensiv blumigen Aromen des Leutschacher Celeja Hopfens. Am Gaumen kräftig hopfig mit harmonischer Bittere und angenehm anhaltendem Abgang – ein steirisches Pils der Spitzenklasse!"
B0043,Reininghaus Märzen,7,0.5,41,"11,5°",Reininghaus Märzen besticht durch ein sattes Strohgelb und ist von einem Kräuterduft geprägt. Am Gaumen mollig und im Nachtrunk hopfig.
B0044,Reininghaus Pils,7,4.8,40,"11,4°",Die goldene Farbe und der intensive Duft nach frischem Heu zeichnen das Reininghaus Pils aus. Der würzig-kräftige Geschmack wird durch Mandel- und Walnussaromen ergänzt. Typisch ist die durchgehende Bittere.
B0045,Schladminger BioZwickl,8,5.2,43,"12,2°","100% österreichische Rohstoffe aus kontrolliertem biologischem Anbau fügen sich zu einer naturtrüben, harmonischen Bierspezialität. Ein sattes Sonnengelb mit gleichmäßiger Trübung zeichnet das Schladminger BioZwickl aus. Der Geschmack ist durch eine frische, fruchitge Note und eine angenehme, nicht zu lange anhaltende Bittere besonders ausgewogen und rund. Eine naturtrübe Bierspezialität, um Gastronomiekonzepte mit Bio-Schwerpunkt zu vervollständigen."
B0046,Schladminger Märzen,7,5.1,43,"11,7°",Bereits ein sattes Goldgelb verspricht einen besonderen Biergenuss. Ein kräftiger Körper folgt einem zart-fruchtigen Antrunk. Der Hopfen sorgt für die richtige Balance.
B0047,Schladminger Schnee Weiße Bio,7,0.5,46,"12,5°",Die hefetrübe Weizenbier-Spezialität aus 100% österreichischen Rohstoffen aus kontrolliert biologischem Anbau ist leuchtend orangegelb in der Farbe. Die ausgeprägte Fruchtigkeit präsentiert sich erfrischend und fein prickelnd. Der Nachtrunk ist besonders würzig und mild.
B0048,Schladminger Sepp,7,5.1,43,"11,7°","Das gutgelaunte Schladminger in der Flasche schmeckt hervorragend fruchtig mit malziger Betonung, ist vollmundig und dabei hopfenfrisch."
B0049,Schladminger Spezial,8,5.6,49,"13,6°","In der Farbe intensiv goldgelb, die Nase herb-fruchtig, hopfig und leicht nussig. Angenehm frisch, spritzig und kompakt. Elegante Hopfenaromen und eine zarte Bittere prägen den Nachtrunk."
B0050,Schlossgold Alkoholfrei,3,0.4,24,"6,5°","Schon vor dem ersten Schluck genießt der Kenner das leuchtende Goldgelb und den wunderbar feinporigen Schaum von Schlossgold. Diese alkoholfreie Bierspezialität präsentiert sich leicht malzig mit würziger Nase und durch die angenehme Hopfennote besonders ausbalanciert. Der bierige Genuss stellt sich am Gaumen leicht herb dar. Es ist eben ein echtes Bier – nur ohne Alkohol. Schlossgold sollte mit ca. 4-6°C immer relativ kalt serviert werden, denn so schmeckt es am erfrischendsten. Übrigens: es hat um 40% weniger Kalorien als alkoholisches Märzenbier."
B0051,Schwechater Bier,7,0.5,41,"11,5°","Das Schwechater Bier ist ein klassisches Lagerbier und Österreichs meistverkauftes Dosenbier. Es ist kristallklar und in der Farbe goldgelb. Im Duft malzaromatisch mit anregender Hopfennase. Im Antrunk präsentiert es sich frisch, harmonisch herb mit zarter Hopfenbittere am Gaumen, langsam ausklingend."
B0052,Schwechater Zwickl,8,5.4,47,"12,5°","Das Schwechater Zwickl ist strohgelb, unfiltriert mit dichter Hefetrübung. Es ist betont feinaromatisch gehopft mit blumiger Note. Am Gaumen cremig und weich. Die Kohlensäure ist in dieser kellerfrischen Spezialität besonders ausgewogen eingebunden. Im Nachtrunk hopfenaromatisch ausklingend."
B0053,Starobrno Altbrünner Gold,8,0.5,43,"11,5°",Starobrno ist das Premium Bier für die Liebhaber der tschechischen Braukunst. Vollmundig und besonders rund zeichnet sich diese Spezialität mit ihren Ursprüngen in Brünn aus. Die feinen Karamelltöne klingen bereits im Aroma an und verhallen sanft als prominenter Malzton im Abgang.
B0054,Veltins Pils,7,4.8,41,11°,Frisches Veltins Pils bietet Premium-Genuss in geschmackreicher Vielfalt.
B0055,Weihenstephaner Alkoholfrei,4,0.4,16,"12,7°","Das Weihenstephaner alkoholfreie Hefeweißbier bietet alles, was von einem Premiumbier erwartet wird. Spritzig, frisch und vollmundig, mit Nuancen von Gewürznelken und Honig sowie einer feinen Hefenote."
B0056,Weihenstephaner Dunkel,7,5.3,44,"12,7°","Weich, malzig und vollmundig. Der ausgewogene Geschmack ist die große Stärke des dunklen Weißbieres aus Weihenstephan. Nicht nur als gute Kombination zu deftigen Speisen geeignet."
B0057,Weihenstephaner Hefetrüb,7,5.4,42,"12,7°","Nichts erfrischt mehr als das naturtrübe Weißbier aus Weihenstephan mit seinem wunderbar hefeblumigen Geschmack. Passt gut zu leichten Speisen, die nicht zu geschmacksintensiv sind, vor allem aber zur Weißwurst."
B0058,Wieselburger Gold,7,0.5,40,"11,6°","Das Wieselburger Gold glänzt in einem Goldgelb, ist malzig und röstig und von einem hopfenbetonten Nachtrunk geprägt."
B0059,Wieselburger Schwarzbier,9,4.8,43,"11,6°","Die Leidenschaft und Handwerkskunst erfahrener Braumeister machen diese außergewöhnliche Bierspezialität zum besonderen Schwarzbier für Genießer. Feinste Spezial- und Röstmalze verleihen unserem Schwarzbier seine tiefdunkle Farbe und seine dezenten Röstmalzaromen. Ein außergewöhnliches Geschmackserlebnis mit elegant-schlankem Charakter und feiner Hopfennote. Für Kenner zeigen sich im Geschmack leichte Kaffee- und Bitterschokoladenoten. Das Wieselburger Schwarzbier wird idealerweise im Pokal serviert, alternativ im Krügerl."
B0060,Wieselburger Spezial,7,5.7,46,"13,1°","Das Wieselburger Spezial ist röstig, hofpig-malzig in der Nase und am Gaumen. Ein kraftvoll, intensives Hopfenaroma prägt den Nachtrunk."
B0061,Wieselburger Stammbräu,7,5.4,44,"12,6°","Das Wieselburger Stammbräu ist in der Farbe goldgelb mit einem hellen, bernsteinfarbenen Schimmer. Im Geschmack malzig-würzig."
B0062,Zipfer Doppelgold,8,5.5,45,"12,8°",Zipfer Doppelgold ist ein malzbetontes Spezialbier mit goldheller Farbe und charakteristisch voll im Geschmack.
B0063,Zipfer Drei,4,0.3,38,"9,7°","Ein besonderes Brauverfahren macht es möglich: Der typische Biergeschmack mit ausgewogenem, vollem Körper trifft auf einen besonders erfrischenden, süffigen Charakter. Die vollmundige Biererfrischung mit 3% Alkohol."
B0064,Zipfer Hell,4,0.4,26,"6,8°","Erfrischend hell. Erfrischend alkoholfrei. Die Bierspezialität mit frischer Hopfennote und Zipfer-typischem Geschmack. Eine natürliche Erfrischung, die jede Pause zur hellen Pause macht."
B0065,Zipfer Kellerbier,7,5.6,45,"12,2°",Zipfer Kellerbier ist naturtrüb und ungefiltert. Dadurch können sich die zarten Hopfennoten voll entfalten. Das Ergebnis ist ein besonders runder und zugleich erfrischender Geschmack. Das Zipfer Kellerbier ist verfügbar von Mai bis September - nur solange der Vorrat reicht.
B0066,Zipfer Limetten Radler,5,0.2,38,"9,6°","Hellgold in der Farbe mit erfrischend-zartem Lemongrasduft. Der einzigartige, süß-saure Geschmack sonnengereifter Limetten harmoniert perfekt mit bestem Zipfer Bier. Der Zipfer Limetten Radler – die erfrischendste Erfrischung seit Erfindung des Radlers."
B0067,Zipfer Märzen,7,0.5,41,"11,8°","Zipfer Märzen zeichnet sich durch einen hellen Goldton aus und duftet nach feinen, fruchtigen Malzaromen. Mit frischem österreichischem Naturhopfen gebraut schmeckt Zipfer Märzen angenehm vollmundig und ist dank der fein abgerundeten Hopfennote sehr erfrischend."
B0068,Zipfer Orangen Radler,5,0.2,39,"9,8°","Biertypische Farbe, orange schimmernd mit frischem Orangen-Limettengrasduft. Der fruchtige Geschmack sonnengereifter Orangen und die erfrischende Lemongras Note harmonieren perfekt mit bestem Zipfer Bier. Der Zipfer Orangen Radler mit Lemongras - die erfrischendste Erfrischung!"
B0069,Zipfer Pils,7,5.2,43,"11,8°","Zipfer Pils leuchtet in hellem Goldton. Es besticht durch eine zarte, durchgehende Hopfennote sowie durch seinen erfrischend feinen Geschmack, der sich am Gaumen voll entwickelt."
B0070,Zipfer Sparkling,7,5.2,42,"11,5°","Zipfer Sparkling schimmert hellgelb und duftet angenehm frisch. Sein spritzig, erfrischender Geschmack bringt dabei die zartherben Geschmacksnoten voll zur Geltung."
B0071,Zipfer Stefani Bock,9,7.1,58,"16,2°","Der Zipfer Stefani Bock strahlt in einem intensiven Goldgelb, ist harmonisch und vollmundig. Sein kräftiger Geschmack mit feiner Hopfennote begeistert nicht nur Bierkenner und -genießer. Der Zipfer Stefani Bock ist verfügbar ab Oktober - nur solange der Vorrat reicht."
B0072,Zipfer Urtyp,7,5.4,44,"12,2°","Die Spitzensorte der Brauerei Zipf glänzt in hellem Goldgelb und ist voll im Geschmack. Extraktreich und fruchtig, mit feinherben Hopfennoten und dezenten Malztönen ist Zipfer Urtyp der Inbegriff eines heimischen Premium-Biers."
