Lokal_ID,Lokalname,bierID,geo_latitude,geo_longitude,Beschreibung
L0011,Café Drechsler,B0019;B0072,48.1984329,16.63623848,Das legendäre Café Drechsler  am Naschmarkt wurde vom britischen Stardesigner Sir Terence Conran mit viel Fingerspitzengefühl umgestaltet. Täglich 23 Stunden geöffnet – ab drei Uhr morgens werden die ersten Gäste verköstigt. 
L0012,Café Hawelka,B0019;B0072,48.2078082,16.63697549,Eine Wiener Institution. Sein einzigartiger Charme macht das Hawelka zum beliebten Treffpunkt für Künstler und zu einem Ort der Ruhe - nur eine Seitengasse vom Stephansplatz entfernt.
L0013,Café Landtmann,B0019;B0072,48.2114529,16.63615795,In diesem Wiener Traditions-Kaffeehaus waren u.a. Sigmund Freud Marlene Dietrich Romy Schneider Paul McCartney und Hillary Clinton zu Gast.
L0014,Café Leopold,B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072;B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072,48.2046538,16.63585099,"Gestaltet hat das Lokal im Leopold Museum das Wiener Architektenteam Ortner & Ortner. Das Café zeigt besonders bei Einbruch der Dunkelheit viel Charme und Wärme. Gute ""neue"" Wiener Küche DJs am Abend. Schanigarten / Garten; Terasse"
L0015,Café Prückel,B0019;B0072,48.207674,16.3804718,Ein Ringstraßen-Café gegenüber dem Museum für angewandte Kunst dessen Interieur aus den 1950er-Jahren nicht nur Kaffeehaus-Freunde begeistert.
L0016,Café Rüdigerhof,B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072;B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072,48.195423,16.3552339,Karten spielen Zeitung lesen oder über Gott und die Welt plaudern: Im Café Rüdigerhof kommt keine Hektik auf. Das in der Nähe des Naschmarktes gelegene Lokal befindet sich in einem der schönsten Jugendstilhäuser Wiens.
L0017,Café Sacher,B0019;B0072,48.2038663,16.63697551,Hier genießt man altehrwürdige Wiener Kaffeehaustradition am besten mit einer Sacher-Torte.
L0018,Café Stein,B0019;B0072;B0039,48.2156599,16.16361139,Ein angesagter Treff in einer angesagten Gegend.Ganz nahe bei der Universität trifft sich seit Ewigkeiten eine interessante Mischung aus alter und junger Szene. 
L0019,Chelsea,B0001;B0002;B0003;B0004;B0005;B0006;B0007;B0008;B0009;B0010;B0011;B0012;B0013;B0014;B0015;B0016;B0017;B0018;B0019;B0020;B0021;B0022;B0023;B0024;B0025;B0026;B0027;B0028;B0029;B0030;B0031;B0032;B0033;B0034;B0035;B0036;B0037;B0038;B0039;B0040;B0041;B0042;B0043;B0044;B0045;B0046;B0047;B0048;B0049;B0050;B0051;B0052;B0053;B0054;B0055;B0056;B0057;B0058;B0059;B0060;B0061;B0062;B0063;B0064;B0065;B0066;B0067;B0068;B0069;B0070;B0071;B0072;B0001;B0002;B0003;B0004;B0005;B0006;B0007;B0008;B0009;B0010;B0011;B0012;B0013;B0014;B0015;B0016;B0017;B0018;B0019;B0020;B0021;B0022;B0023;B0024;B0025;B0026;B0027;B0028;B0029;B0030;B0031;B0032;B0033;B0034;B0035;B0036;B0037;B0038;B0039;B0040;B0041;B0042;B0043;B0044;B0045;B0046;B0047;B0048;B0049;B0050;B0051;B0052;B0053;B0054;B0055;B0056;B0057;B0058;B0059;B0060;B0061;B0062;B0063;B0064;B0065;B0066;B0067;B0068;B0069;B0070;B0071;B0072,48.2112571,16.63478654,Das Urgestein der Gürtel-Lokale.Musik von Punk bis Brit-Pop. Jede Woche spielen hier auch mehrere Bands (oft aus England) live.
L0020,Corbaci,B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072;B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072,48.2046538,16.63585099,Hier gehört hochwertige Architektur zum Pflichtprogramm: die bemerkenswerte Mosaikdecke steht im Kontrast zur restlichen minimalistischen Architektur des Lokals.
L0021,Das Möbel - Das Café,B0019;B0072,48.2042672,16.63550872,Kein Tisch gleicht dem anderen jeder Sessel schaut anders aus - und die Gäste können hier nicht nur essen und trinken. Sondern auch die - ständig wechselnden - Einrichtungsstücke kaufen.
L0022,First Floor,B0019;B0072;B0039,48.2115391,16.63753057,"Inmitten der Innenstadt im Nightlife-Gebiet ""Bermuda Dreieck"" liegt - ein wenig versteckt im 1. Stock - eine der besten Cocktail-Bars der Stadt."
L0023,Flex,B0019;B0072;B0039,48.2186475,16.63700592,Star-DJs der Techno- und Drum'n'Bass-Szene die angesagtesten Stars der Alternative Music und aktuellen Dancekultur statten dem Flex regelmäßig einen Besuch ab.
L0024,Fluc,B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072;B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072,48.2194446,16.63922694,These clubs are strongly influenced by electronic music; everything from avant garde noise performances to boisterous indie disco parties take place here.
L0025,Gergely's,B0019;B0072;B0039,48.191094,16.3593266,Das Angebot in diesem Szeneviertel reicht von gediegener österreichischer Küche beim Silberwirt bis zu italienischen Köstlichkeiten in der Trattoria Margareta.
L0026,Glacis Beisl,B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072;B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072,48.2032121,16.63571072,Klassiker der Wiener Küche und eine große Auswahl an österreichischen Weinen stehen hier auf der Karte.
L0027,Kleines Café,B0019;B0072;B0039,48.2066268,16.63743903,In diesem beliebten Szenetreffpunkt sieht man vor allem Leute aus dem künstlerischen Bereich.
L0028,Loos American Bar,B0001;B0002;B0003;B0004;B0005;B0006;B0007;B0008;B0009;B0010;B0011;B0012;B0013;B0014;B0015;B0016;B0017;B0018;B0019;B0020;B0021;B0022;B0023;B0024;B0025;B0026;B0027;B0028;B0029;B0030;B0031;B0032;B0033;B0034;B0035;B0036;B0037;B0038;B0039;B0040;B0041;B0042;B0043;B0044;B0045;B0046;B0047;B0048;B0049;B0050;B0051;B0052;B0053;B0054;B0055;B0056;B0057;B0058;B0059;B0060;B0061;B0062;B0063;B0064;B0065;B0066;B0067;B0068;B0069;B0070;B0071;B0072;B0001;B0002;B0003;B0004;B0005;B0006;B0007;B0008;B0009;B0010;B0011;B0012;B0013;B0014;B0015;B0016;B0017;B0018;B0019;B0020;B0021;B0022;B0023;B0024;B0025;B0026;B0027;B0028;B0029;B0030;B0031;B0032;B0033;B0034;B0035;B0036;B0037;B0038;B0039;B0040;B0041;B0042;B0043;B0044;B0045;B0046;B0047;B0048;B0049;B0050;B0051;B0052;B0053;B0054;B0055;B0056;B0057;B0058;B0059;B0060;B0061;B0062;B0063;B0064;B0065;B0066;B0067;B0068;B0069;B0070;B0071;B0072,48.2070907,16.63714544,Eine mondäne Bar zum Schauen und Chillen heute wie damals beliebt.
L0029,Motto,B0019;B0072,48.1929409,16.63575794,"Das Restaurant Motto bewährt sich seit Jahren als Hotspot der Wiener Gastro-Szene. Hier mischen sich internationale Stars gerne unter das bunte Volk der ""Motto-Gäste""."
L0030,Naschmarkt Deli,B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072;B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072,48.1997355,16.63656163,Ein beliebter Platz der Wiener Szene - Sounds zwischen Break Beats und Easy Listening von Wiener und internationalen DJs kann man hier hören.
L0031,Pratersauna,B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072;B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072,48.2132942,16.64046699,Die großzügigen Räumlichkeiten einer ehemaligen Sauna im Prater sind Treffpunkt der Musik- Kunst- Kultur- und Lifestyle-Szene.
L0032,Ra'mien,B0019;B0072;B0039,48.200167,16.3614752,Asiatische Fusionsküche in einem absolut coolen Ambiente. Nicht teuer nette Menschen und vor allem beste Qualität. 
L0033,Restaurant Vestibül,B0001;B0002;B0003;B0004;B0005;B0006;B0007;B0008;B0009;B0010;B0011;B0012;B0013;B0014;B0015;B0016;B0017;B0018;B0019;B0020;B0021;B0022;B0023;B0024;B0025;B0026;B0027;B0028;B0029;B0030;B0031;B0032;B0033;B0034;B0035;B0036;B0037;B0038;B0039;B0040;B0041;B0042;B0043;B0044;B0045;B0046;B0047;B0048;B0049;B0050;B0051;B0052;B0053;B0054;B0055;B0056;B0057;B0058;B0059;B0060;B0061;B0062;B0063;B0064;B0065;B0066;B0067;B0068;B0069;B0070;B0071;B0072;B0001;B0002;B0003;B0004;B0005;B0006;B0007;B0008;B0009;B0010;B0011;B0012;B0013;B0014;B0015;B0016;B0017;B0018;B0019;B0020;B0021;B0022;B0023;B0024;B0025;B0026;B0027;B0028;B0029;B0030;B0031;B0032;B0033;B0034;B0035;B0036;B0037;B0038;B0039;B0040;B0041;B0042;B0043;B0044;B0045;B0046;B0047;B0048;B0049;B0050;B0051;B0052;B0053;B0054;B0055;B0056;B0057;B0058;B0059;B0060;B0061;B0062;B0063;B0064;B0065;B0066;B0067;B0068;B0069;B0070;B0071;B0072,48.2103678,16.63609253,Das Lokal im Burgtheater ist eine Großstadtbrasserie der Sonderklasse mit einem der schönsten Gastgärten der Stadt.
L0034,Säulenhalle,B0019;B0072;B0039,48.20722645,16.63616974,Die Clubdiskothek mit dem blumengeschmückten und palmenbestückten Garten bietet Tanzunterhaltung mit Stil.
L0035,Sky Café Restaurant Bar,B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072;B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072,48.2064095,16.16371684,Hier bietet sich vom obersten Stock des Kaufhauses Steffl ein hervorragender Blick über die Innenstadt.
L0036,Stein's Diner,B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072;B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072,48.2155309,16.63612527,"Schon am Morgen ist im Café einiges los und wer bis in die Nacht bleiben will der begibt sich am Abend in ""Stein's Diner"" unter dem Café."
L0037,Strandbar Herrmann,B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072;B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072,48.2121534,16.63861776,Sonne Sand und Urlaubsfeeling gutes Essen und coole Drinks bietet am Wiener Donaukanal die Strandbar Herrmann.
L0038,U4 Diskothek,B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072;B0006;B0013;B0017;B0019;B0020;B0022;B0039;B0041;B0052;B0058;B0059;B0065;B0067;B0069;B0072,48.1831645,16.16328091,Die legendärste Disco der Stadt versorgt mittlerweile schon die vierte Generation an Gästen mit Partylaune auf zwei Floors  und den nötigen Drinks.
L0039,Unger und Klein,B0001;B0002;B0003;B0004;B0005;B0006;B0007;B0008;B0009;B0010;B0011;B0012;B0013;B0014;B0015;B0016;B0017;B0018;B0019;B0020;B0021;B0022;B0023;B0024;B0025;B0026;B0027;B0028;B0029;B0030;B0031;B0032;B0033;B0034;B0035;B0036;B0037;B0038;B0039;B0040;B0041;B0042;B0043;B0044;B0045;B0046;B0047;B0048;B0049;B0050;B0051;B0052;B0053;B0054;B0055;B0056;B0057;B0058;B0059;B0060;B0061;B0062;B0063;B0064;B0065;B0066;B0067;B0068;B0069;B0070;B0071;B0072;B0001;B0002;B0003;B0004;B0005;B0006;B0007;B0008;B0009;B0010;B0011;B0012;B0013;B0014;B0015;B0016;B0017;B0018;B0019;B0020;B0021;B0022;B0023;B0024;B0025;B0026;B0027;B0028;B0029;B0030;B0031;B0032;B0033;B0034;B0035;B0036;B0037;B0038;B0039;B0040;B0041;B0042;B0043;B0044;B0045;B0046;B0047;B0048;B0049;B0050;B0051;B0052;B0053;B0054;B0055;B0056;B0057;B0058;B0059;B0060;B0061;B0062;B0063;B0064;B0065;B0066;B0067;B0068;B0069;B0070;B0071;B0072,48.2133233,16.63721272,In dieser Kombination aus Weinhandlung und Bar gehen ästhetischer und kulinarischer Genuss eine wunderbare Symbiose ein.
L0040,Volksgarten Clubdiskothek,B0019;B0072;B0039,48.2062953,16.63637448,Die Clubdiskothek mit dem blumengeschmückten und palmenbestückten Garten bietet Tanzunterhaltung mit Stil.
L0041,Würstelstand Albertina,B0001;B0002;B0003;B0004;B0005;B0006;B0007;B0008;B0009;B0010;B0011;B0012;B0013;B0014;B0015;B0016;B0017;B0018;B0019;B0020;B0021;B0022;B0023;B0024;B0025;B0026;B0027;B0028;B0029;B0030;B0031;B0032;B0033;B0034;B0035;B0036;B0037;B0038;B0039;B0040;B0041;B0042;B0043;B0044;B0045;B0046;B0047;B0048;B0049;B0050;B0051;B0052;B0053;B0054;B0055;B0056;B0057;B0058;B0059;B0060;B0061;B0062;B0063;B0064;B0065;B0066;B0067;B0068;B0069;B0070;B0071;B0072;B0001;B0002;B0003;B0004;B0005;B0006;B0007;B0008;B0009;B0010;B0011;B0012;B0013;B0014;B0015;B0016;B0017;B0018;B0019;B0020;B0021;B0022;B0023;B0024;B0025;B0026;B0027;B0028;B0029;B0030;B0031;B0032;B0033;B0034;B0035;B0036;B0037;B0038;B0039;B0040;B0041;B0042;B0043;B0044;B0045;B0046;B0047;B0048;B0049;B0050;B0051;B0052;B0053;B0054;B0055;B0056;B0057;B0058;B0059;B0060;B0061;B0062;B0063;B0064;B0065;B0066;B0067;B0068;B0069;B0070;B0071;B0072,48.204367,16.3688208,Dieser Würstelstand gilt als zeitgemäße Interpretation dieser Wiener Institution: hier werden auch Bouteillenweine und Sekt angeboten.
L0042,Würstelstand am Hohen Markt,B0019;B0072;B0039,48.210862,16.6372725,Seinen Kultfaktor verdankt dieser Würstelstand seinen Öffnungszeiten bis in die frühen Morgenstunden.
